document_id,text,crowding_access,visitor_respect_etiquette,environment_cleanliness,cost_displacement,positive_coexistence,unclear_no_theme,annotation_note
SYN001,"The queue outside the attraction stretched around the block and made it difficult for residents to use the walkway.",1,0,0,0,0,0,"Crowding affects shared access."
SYN002,"The museum posted clear guidance and most visitors followed it respectfully.",0,1,0,0,1,0,"Respectful behaviour and positive coexistence."
SYN003,"Bins were overflowing near the event area after the weekend crowds left.",0,0,1,0,0,0,"Cleanliness and waste concern."
SYN004,"Small local shops said that visitor-focused rent increases were making the area harder to afford.",0,0,0,1,0,0,"Tourism-linked cost pressure."
SYN005,"The volunteer guide explained local customs and visitors asked thoughtful questions.",0,1,0,0,1,0,"Respectful learning and positive interaction."
SYN006,"The train station was busy but staff directed people well and everyone moved through safely.",1,0,0,0,1,0,"Crowding with a constructive management outcome."
SYN007,"People left food containers in the park even though disposal signs were visible.",0,1,1,0,0,0,"Etiquette and littering."
SYN008,"I enjoyed the food market and would visit again.",0,0,0,0,0,1,"No clear tourism-impact theme."
SYN009,"The heritage site became so crowded that families could not enjoy the exhibits.",1,0,0,0,0,0,"Crowding at a shared cultural site."
SYN010,"The community workshop encouraged visitors to support locally owned businesses.",0,0,0,0,1,0,"Positive community benefit."
SYN011,"Late-night noise from visitors made it difficult for nearby residents to sleep.",0,1,0,0,0,0,"Respectful behaviour in a shared neighbourhood."
SYN012,"The waterfront looked cleaner after organisers added more recycling points.",0,0,1,0,1,0,"Environmental improvement and positive outcome."
SYN013,"Prices around the popular district seem to be rising faster than in nearby areas.",0,0,0,1,0,0,"Possible tourism-linked price pressure."
SYN014,"Visitors were reminded to respect the quiet area and many chose to speak softly.",0,1,0,0,1,0,"Respectful conduct and positive coexistence."
SYN015,"The post only asks where to buy a souvenir and gives no other context.",0,0,0,0,0,1,"No relevant impact theme."
SYN016,"Long taxi queues formed after the concert and blocked the entrance to nearby homes.",1,0,0,0,0,0,"Access pressure."
SYN017,"A visitor ignored the posted rule and climbed over a protected barrier.",0,1,1,0,0,0,"Etiquette and possible environmental damage."
SYN018,"Local performers were fairly paid and visitors learned about the history of the neighbourhood.",0,0,0,0,1,0,"Positive coexistence and local benefit."
SYN019,"Crowded streets and discarded bottles created an unpleasant environment after the festival.",1,0,1,0,0,0,"Crowding and cleanliness."
SYN020,"The comment is too vague to identify a tourism-related issue.",0,0,0,0,0,1,"Unclear."
